[2025-10-21 19:29:28] [INFO    ] discord.client: logging in using static token
[2025-10-21 19:29:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-21 19:29:30] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: d5b37de5af956ada198031fbfbf0ed14).
[2025-10-21 19:29:30] [DEBUG   ] discord.client: Dispatching event connect
[2025-10-21 19:29:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'joined_at': '2025-09-22T15:55:43.534000+00:00', 'members': [{'user': {'username': 'ITcanteen', 'public_flags': 0, 'primary_guild': None, 'id': '1419712178264739992', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2383', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1419713785425432669'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-22T15:55:43.534000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'hub_type': None, 'soundboard_sounds': [], 'application_id': None, 'profile': None, 'incidents_data': None, 'large': False, 'premium_progress_bar_enabled': False, 'mfa_level': 0, 'rules_channel_id': None, 'splash': None, 'id': '1418981762872115343', 'voice_states': [], 'owner_id': '323322295072587776', 'verification_level': 0, 'inventory_settings': None, 'nsfw': False, 'name': 'ศูนย์อาหาร IT', 'afk_timeout': 300, 'guild_scheduled_events': [], 'max_video_channel_users': 25, 'banner': None, 'latest_onboarding_question_id': None, 'threads': [], 'stickers': [], 'discovery_splash': None, 'preferred_locale': 'en-US', 'moderator_reporting': None, 'presences': [], 'home_header': None, 'description': None, 'max_members': 25000000, 'stage_instances': [], 'premium_features': None, 'emojis': [], 'features': [], 'public_updates_channel_id': None, 'safety_alerts_channel_id': None, 'system_channel_id': '1418981764042588172', 'icon': 'ce8103afb53ba4b5ddcc7c66aa952a81', 'channels': [{'version': 1758382015960, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'ช่องข้อความ', 'id': '1418981764042588170', 'flags': 0}, {'version': 1759577444622, 'type': 4, 'position': 2, 'permission_overwrites': [], 'parent_id': None, 'name': 'ช่องสำหรับพูด', 'id': '1418981764042588171', 'flags': 0}, {'version': 1758382015973, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1418981764042588170', 'name': 'ทั่วไป', 'last_message_id': '1424698075045171231', 'id': '1418981764042588172', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1758382015983, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1418981764042588171', 'name': 'ทั่วไป', 'last_message_id': None, 'id': '1418981764042588173', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1758514449144, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1418981764042588170', 'name': 'backend-website', 'last_message_id': '1420280479764058152', 'id': '1419537229084098661', 'flags': 0}, {'version': 1758514463682, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1418981764042588170', 'name': 'discord-bot', 'last_message_id': '1421844814785155174', 'id': '1419537290052767764', 'flags': 0}, {'version': 1758514727463, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1418981764042588170', 'name': 'database', 'last_message_id': None, 'id': '1419538396451438642', 'flags': 0}, {'version': 1758556597429, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1418981764042588170', 'name': 'bot-test', 'last_message_id': '1421380820899467388', 'id': '1419714011812991096', 'flags': 0}, {'version': 1759577875932, 'type': 4, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1419537739484758129', 'deny': '0', 'allow': '1049600'}, {'type': 0, 'id': '1419537559075160104', 'deny': '0', 'allow': '1049600'}, {'type': 0, 'id': '1418981762872115343', 'deny': '1024', 'allow': '65536'}, {'type': 0, 'id': '1423995646578528258', 'deny': '0', 'allow': '1049600'}], 'parent_id': None, 'name': 'ticket', 'id': '1423995746151039086', 'flags': 0}, {'version': 1759578248465, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [{'type': 0, 'id': '1418981762872115343', 'deny': '1024', 'allow': '65536'}, {'type': 0, 'id': '1419537559075160104', 'deny': '0', 'allow': '1049600'}, {'type': 0, 'id': '1419537739484758129', 'deny': '0', 'allow': '1049600'}, {'type': 0, 'id': '1423995646578528258', 'deny': '0', 'allow': '1049600'}, {'type': 1, 'id': '557628352828014614', 'deny': '0', 'allow': '1024'}], 'parent_id': '1423995746151039086', 'nsfw': False, 'name': 'create-ticket', 'last_message_id': '1423999239775715411', 'id': '1423997636775776276', 'flags': 0}], 'default_message_notifications': 0, 'activity_instances': [], 'premium_tier': 0, 'explicit_content_filter': 0, 'premium_subscription_count': 0, 'max_stage_video_channel_users': 50, 'nsfw_level': 0, 'region': 'deprecated', 'owner_configured_content_level': 0, 'roles': [{'version': 1758382015950, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1418981762872115343', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1759577575781, 'unicode_emoji': None, 'tags': {}, 'position': 5, 'permissions': '8', 'name': 'Moderators', 'mentionable': False, 'managed': False, 'id': '1419536766310027416', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 9807270}, 'color': 9807270}, {'version': 1759577560664, 'unicode_emoji': None, 'tags': {}, 'position': 4, 'permissions': '0', 'name': 'website', 'mentionable': False, 'managed': False, 'id': '1419537559075160104', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3447003}, 'color': 3447003}, {'version': 1759577605021, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '0', 'name': 'bot', 'mentionable': False, 'managed': False, 'id': '1419537739484758129', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15844367}, 'color': 15844367}, {'version': 1758556543518, 'unicode_emoji': None, 'tags': {'bot_id': '1419712178264739992'}, 'position': 1, 'permissions': '8', 'name': 'ITcanteen', 'mentionable': False, 'managed': True, 'id': '1419713785425432669', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1759577605017, 'unicode_emoji': None, 'tags': {'bot_id': '557628352828014614'}, 'position': 2, 'permissions': '2416045072', 'name': 'Ticket Tool', 'mentionable': False, 'managed': True, 'id': '1423995646578528258', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'lazy': True, 'embedded_activities': [], 'member_count': 7, 'system_channel_flags': 0, 'afk_channel_id': None, 'version': 1759577249500, 'vanity_url_code': None, 'application_command_counts': {}, 'unavailable': False}}
[2025-10-21 19:29:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-21 19:29:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'e9b977a938d74e48f98612875dee3fe4', 'members': [{'user': {'username': 'diawyurbro', 'public_flags': 128, 'primary_guild': {'tag': 'หลาย', 'identity_guild_id': '508176453947359244', 'identity_enabled': True, 'badge': '2d8bea68b3152b52858942d2bc854cc7'}, 'id': '323322295072587776', 'global_name': 'Me', 'display_name_styles': None, 'display_name': 'Me', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'c0bd5443f2a8efbba107aaf1bfde25d4'}, 'roles': ['1419536766310027416', '1419537739484758129'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-20T15:27:44.600000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'azur1s', 'public_flags': 64, 'primary_guild': {'tag': '::<>', 'identity_guild_id': '273534239310479360', 'identity_enabled': True, 'badge': '78f4434ffba9c1994553e77aceb9bc50'}, 'id': '424787591737638912', 'global_name': 'azur', 'display_name_styles': None, 'display_name': 'azur', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '07355f2f2cf955c2e66a098954197a09'}, 'roles': ['1419537559075160104', '1419537739484758129', '1419536766310027416'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-20T15:27:51.944000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Ticket Tool', 'public_flags': 65536, 'primary_guild': None, 'id': '557628352828014614', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4843', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'dd89587457ef9f971d331426cad9e2be'}, 'roles': ['1423995646578528258'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-04T11:30:18.802665+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'tbetter', 'public_flags': 128, 'primary_guild': None, 'id': '580386398624808990', 'global_name': '𝕿より良い', 'display_name_styles': None, 'display_name': '𝕿より良い', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '392a19e8d4db94771545e82789aef57a'}, 'roles': ['1419536766310027416', '1419537739484758129'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-20T15:42:24.577000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'jackreap', 'public_flags': 0, 'primary_guild': None, 'id': '805400766184554526', 'global_name': 'PNPRLL', 'display_name_styles': None, 'display_name': 'PNPRLL', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1422723412052279357', 'expires_at': 1765501200, 'asset': 'a_3f718ee236302dcc79d2531c0af4ab59'}, 'avatar': 'f731a3bc4f5938da83ecdb51059c60aa'}, 'roles': ['1419536766310027416', '1419537739484758129'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-20T15:32:07.924000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'ttrrpp_98943', 'public_flags': 0, 'primary_guild': None, 'id': '1293116104276705315', 'global_name': 'PL0Y', 'display_name_styles': None, 'display_name': 'PL0Y', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '39a53f1c061b99b8b9db4fdad689710b'}, 'roles': ['1419537559075160104', '1419536766310027416'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-20T15:26:55.896000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'ITcanteen', 'public_flags': 0, 'primary_guild': None, 'id': '1419712178264739992', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2383', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1419713785425432669'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-22T15:55:43.534000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1418981762872115343', 'chunk_index': 0, 'chunk_count': 1}}
[2025-10-21 19:29:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-21 19:29:30] [DEBUG   ] discord.state: Processed a chunk for 7 members in guild ID 1418981762872115343.
[2025-10-21 19:29:32] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-10-21 19:29:32] [DEBUG   ] discord.client: Dispatching event ready
